assistant_action_id,name,category,notes,id
collect_spo2,Measure oxygen saturation (SpO2),data_collection,Needed to assess respiratory risk and red flags,2fb275ca911aaa561a562ca52a4669a99c911eea5350e1206dccfe4ab7c6495d
collect_bp,Measure blood pressure,data_collection,Needed to assess hypertension risk and red flags,e30da388b84a7a10f54df700f3d1ea9b56a542803d252e21a9f059482a3125fa
collect_temperature,Measure temperature,data_collection,Helps assess infection risk and severity,d92b6530f4b5dcac30400873377b0bd7457e9376ad55effa4f497a03dc341126
collect_heart_rate,Measure heart rate,data_collection,Helps assess systemic stress and severity,b13b4401ea50f5038b39d18683487c86bd68bd1254667c3c46a6b419738de167
collect_respiratory_rate,Measure respiratory rate,data_collection,Supports respiratory severity assessment,6341da31d0d1989cba805cb09772be559901d9a2c8fe06553aa951654d649f3f
collect_repeat_measurements,Repeat key measurements,data_collection,Confirm abnormal vitals before disposition,8d9d13d7ebf8d58d5bd7cd0f3691de9c2f6ae10a1faef1a67fe5cbf09094e3b6
clarify_symptom_severity,Clarify symptom severity,clarification,Severity can change triage and urgency,eae3e81f68fd62c1f13ac0520f5856a7c0dfe5cc9aea6bf2168d06c23d603f04
clarify_symptom_duration,Clarify symptom duration,clarification,Duration affects differential confidence,b2926dca439f0119d8048ec93c9bf5f78a1ae3b06fb58492123ea1bcc4e42618
clarify_functional_impact,Clarify functional impact,clarification,Functional limitation may affect urgency,41e1cd24b7d604d42e43e775ad19ae9166cefd5e2b9768a115c4cff54dac8ab9
clarify_posture_and_ergonomics,Clarify posture/ergonomics,follow_up,Supports posture-related headache/strain assessment,72f4f3b2e33e266a737b246aed44e6a917b6cccea9b31bc2072d6a5c29dc159c
clarify_screen_time,Clarify screen time,follow_up,Supports eye strain and posture assessment,a97bfb2fb008d132801d3fbaff72f2afac9c664a8581f9808be8dc3a5efb237b
clarify_sleep_pattern,Clarify sleep pattern,follow_up,Supports sleep-related symptoms assessment,2ddc6186b46b8e5aa8f1e900548a6744fefe649b648a529d4255f162d6be511e
clarify_stress_level,Clarify stress level,follow_up,Supports stress-related symptoms assessment,baebc19de9a88e205807405741b5791fc3edff53f53a89e8cca50cb97dc9c960
clarify_substance_timing,Clarify timing relative to substances,follow_up,Context may affect symptom interpretation,c2344f5b743764f72299306377212ea520074c72dfb1fc036d611c6bb3e09d95
clarify_exposure_history,Clarify exposures (travel/sick contacts/new meds),follow_up,Exposure context may shift likely causes,4713dad08ccfdc12de1a1d1c9474beb32651fbf6dd708fe5479f8a7758c5abca
clarify_neuro_symptoms,Screen for neurologic warning signs,follow_up,Helps assess neurologic red flags,0bec7e1ab4b4b25b20df90aa12cae10f52d8bbf06e9471431d1f5192da7e4291
clarify_hydration_status,Clarify hydration status,follow_up,Helps assess dehydration severity,e50b9e00662d4737746bd8b75a8f5f7af91afe5b2cce2bc44ae28673c68288a7
clarify_pain_character,Clarify pain character/location,follow_up,Supports abdominal pain/headache interpretation,15e67815e4bde40a5ecafbd4b2725f5fba2d17ce6a4faf2687c8303c7172a7b2
