redflag_id,name,urgency,id
redflag_chest_pain,Chest pain,ER_now,d4b377589c6dfbfa628332923420dbd1cde5020892fd57105ce030f7a02a460b
redflag_severe_shortness_of_breath,Severe shortness of breath,ER_now,f735da60d1ee7699a4d1140e018030070f572fa6b553bdcf65129509c31382a4
redflag_spo2_low,Low oxygen saturation,ER_now,87e6ba7eccb9044db6757b92485247e7fbc91e2d6107895fea258c8b96151101
redflag_bp_very_high,Very high blood pressure,same_day_urgent_eval,280356e16da662eccf35789d892884e8dfc1b89c8e912a89f6ff1b08eb100204
redflag_fainting_syncope,Fainting/syncope,ER_now,67a0e57f1a77bb7777c72fcc7693e7251ab4d7a8bced3fb7ed5515de717ed6a5
redflag_new_neuro_deficit,New neurologic deficit,ER_now,e9bcfec161dee7cf71afef5b28074c40bb3380de1fd796f4d3b2a149974bdcdb
redflag_severe_headache_sudden,Sudden severe headache,ER_now,efcf9bc7a12273283348f75411ab0a3dfdc0d22962d62eb3e0b2b8ba08f7e3e0
redflag_high_fever_persistent,High fever persistent,same_day_urgent_eval,e3d8c5652d77e87135627d822156754833574b6cd86fca2989695ce1052c93f3
redflag_neck_stiffness_photophobia,Neck stiffness with photophobia,ER_now,1fb8ba68202d8292323e408a620c53bda58b98057049c5d9626996306f7ae7ec
redflag_severe_dehydration,Severe dehydration signs,same_day_urgent_eval,c6bc6ce97278f9a2d7f5f86c6b0e4b47ea1bab39eb0462f62cb1a3642ad53ee1
redflag_bloody_stool_or_vomit,Blood in stool or vomit,ER_now,fb10160bf2a784fc71e303988c0995b52ae1ab72cf7d641894caf75e45e97035
redflag_severe_abdominal_pain,Severe abdominal pain,ER_now,907cac3f10140dff1b5fa0b6f3e580e452418dad0be3cdaa27225d60a3b9609b
redflag_severe_allergic_reaction,Severe allergic reaction symptoms,ER_now,d7f3f3dad2dd6894ff8a9ed4ef4f378dbda4c1f21636f6f2625566be8d912edb
redflag_uncontrolled_hyperglycemia,Concerning hyperglycemia symptoms,same_day_urgent_eval,fde46e78ed2e4f47aea8f4f12d92231a5ef358a0135607a30408c7469e38869f
redflag_possible_sepsis,Possible sepsis pattern,ER_now,acc0f16baa972f3c01bc9d01470d5add31f3ba5275e8fe5661735511ba157ccd
redflag_acute_confusion,Acute confusion,ER_now,a16d8e1c6a3cfc952d3975b32fe095b1bd0b9ba5748f4878a0fe8ff43e28a748
redflag_uncontrolled_pain,Uncontrolled severe pain,ER_now,a471cf2733a39aee20d74cf290e044226e25dee5bf1cd53b9a353af4cfd62f30
redflag_pregnancy_complication,Possible pregnancy complication,ER_now,82a181ede21da27807d95e79af9d2bec69747e706d7e362299e4b9d375123bf3
